task,wacc,uar,r_Present,r_Unknown,r_Absent,combinations
circor1,0.66,0.6745022913379911,0.6222222222222222,0.7058823529411765,0.6954022988505747,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep26it69-0.70984_loss0.8527,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep10it277-0.65488_loss2.1677"
circor1,0.5511111111111111,0.6083539929381714,0.6222222222222222,0.8235294117647058,0.3793103448275862,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep6it69-0.59223_loss1.1138,-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep43it69-0.69023_loss0.7623"
circor1,0.6311111111111111,0.6846668169183382,0.6888888888888889,0.8823529411764706,0.4827586206896552,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep14it277-0.68183_loss0.6690,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep4it277-0.65278_loss0.8936"
circor1,0.8355555555555556,0.7881000676132522,0.8666666666666667,0.6470588235294118,0.8505747126436781,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep43it69-0.69023_loss0.7623,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.81834_loss0.7292"
circor1,0.6644444444444444,0.711231312448351,0.7111111111111111,0.8823529411764706,0.5402298850574713,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep10it277-0.65488_loss2.1677,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep4it277-0.65278_loss0.8936"
circor1,0.7022222222222222,0.7437983622567801,0.7111111111111111,0.8823529411764706,0.6379310344827587,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep34it69-0.69233_loss1.3810,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep42it277-0.69338_loss0.6990"
circor1,0.8333333333333334,0.7285703553452031,0.8888888888888888,0.4117647058823529,0.8850574712643678,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep42it277-0.69338_loss0.6990,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep44it554-0.82954_loss0.6349"
circor1,0.8244444444444444,0.7347682367966343,0.8888888888888888,0.4705882352941176,0.8448275862068966,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep43it69-0.69023_loss0.7623,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep44it554-0.82954_loss0.6349"
circor1,0.8511111111111112,0.7971677559912854,0.9111111111111112,0.6470588235294118,0.8333333333333334,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep6it69-0.59223_loss1.1138,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep35it554-0.82114_loss0.8219"
circor1,0.8266666666666667,0.7964690857185787,0.8444444444444444,0.7058823529411765,0.8390804597701149,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep43it69-0.64123_loss0.8089,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep44it554-0.82954_loss0.6349"
circor1,0.8533333333333334,0.7553301780482308,0.9333333333333332,0.4705882352941176,0.8620689655172413,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep10it277-0.65488_loss2.1677,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep44it554-0.82954_loss0.6349"
circor1,0.8066666666666666,0.6938922695514987,0.8666666666666667,0.3529411764705882,0.8620689655172413,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep38it69-0.61393_loss1.0983,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep44it554-0.82954_loss0.6349"
circor1,0.8266666666666667,0.7826083690181053,0.8444444444444444,0.6470588235294118,0.8563218390804598,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep6it69-0.59223_loss1.1138,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.81834_loss0.7292"
circor1,0.8311111111111111,0.7842686499887311,0.8666666666666667,0.6470588235294118,0.8390804597701149,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep43it69-0.64123_loss0.8089,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep43it554-0.83129_loss0.7270"
circor1,0.8666666666666667,0.7945458643227404,0.9333333333333332,0.5882352941176471,0.8620689655172413,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep10it277-0.65488_loss2.1677,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.83199_loss0.4177"
circor1,0.5688888888888889,0.590782059950417,0.5333333333333333,0.6470588235294118,0.5919540229885057,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep26it69-0.70984_loss0.8527,-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep6it69-0.59223_loss1.1138"
circor1,0.8244444444444444,0.7668319435053714,0.8444444444444444,0.5882352941176471,0.867816091954023,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep26it69-0.70984_loss0.8527,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep44it554-0.82954_loss0.6349"
circor1,0.7266666666666667,0.7276312823980167,0.6666666666666666,0.7058823529411765,0.8103448275862069,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep5it69-0.70179_loss0.7901,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep42it277-0.69338_loss0.6990"
